Const,Title,sex_nudity,violence_gore,profanity,alcohol_drugs,intensity
tt5208252,Operation Finale,None,Moderate,Mild,Mild,Moderate
tt5463162,Deadpool 2,Moderate,Severe,Severe,Moderate,Moderate
tt3104988,Crazy Rich Asians,Mild,None,Mild,Mild,None
tt0368933,The Princess Diaries 2: Royal Engagement,None,None,None,None,None
tt0466460,Khosla Ka Ghosla!,None,None,Mild,Mild,None
tt0468569,The Dark Knight,None,Moderate,Mild,Mild,Severe
tt0470752,Ex Machina,Moderate,Moderate,Moderate,Moderate,Moderate
tt5783956,When We First Met,Mild,Mild,Moderate,Mild,None
tt0389860,Click,Moderate,Mild,Moderate,Mild,Mild
tt5095030,Ant-Man and the Wasp,None,Mild,Mild,None,Mild
tt3521126,The Disaster Artist,Moderate,None,Severe,Mild,None
tt1590193,The Commuter,None,Moderate,Moderate,Mild,Moderate
tt5286444,Neerja,None,Moderate,Mild,Mild,Severe
tt1632708,Friends with Benefits,Moderate,None,Moderate,Mild,None
tt0800039,Forgetting Sarah Marshall,Severe,Mild,Severe,Mild,None
tt5362988,Wind River,Moderate,Severe,Moderate,Mild,Severe
tt0859163,The Mummy: Tomb of the Dragon Emperor,Mild,Moderate,Mild,Mild,Moderate
tt0780536,In Bruges,Mild,Severe,Severe,Severe,Moderate
tt7363076,Raid,None,Mild,None,Mild,Mild
tt1605783,Midnight in Paris,None,None,Mild,Mild,None
tt0032138,The Wizard of Oz,None,Mild,None,None,Mild
tt4169250,M.S. Dhoni: The Untold Story,None,None,None,None,None
tt1392190,Mad Max: Fury Road,Mild,Moderate,Mild,Mild,Moderate
tt0120382,The Truman Show,None,None,Mild,Mild,Mild
tt0086190,Star Wars: Episode VI - Return of the Jedi,Mild,Mild,None,Mild,Mild
tt3647998,Taboo,Moderate,Severe,Moderate,Moderate,Moderate
tt2446042,Taken 3,Mild,Moderate,Moderate,Mild,Moderate
tt2140379,Self/less,Mild,Moderate,Moderate,Mild,Moderate
tt0343660,50 First Dates,Mild,Mild,Mild,Mild,Mild
tt3385516,X-Men: Apocalypse,Mild,Moderate,Mild,Mild,Moderate
tt0103772,Basic Instinct,Severe,Severe,Severe,Severe,Severe
tt0420304,Viruddh... Family Comes First,None,Moderate,Mild,Moderate,Moderate
tt0431308,P.S. I Love You,Mild,None,Mild,Mild,None
tt0265343,Monsoon Wedding,Mild,None,Mild,Moderate,Mild
tt0898266,The Big Bang Theory,Mild,None,Mild,Mild,None
tt0212985,Hannibal,Mild,Severe,Mild,Moderate,Severe
tt0432047,Sarkar,Mild,Moderate,Moderate,Mild,Moderate
tt5580036,"I, Tonya",Moderate,Moderate,Severe,Moderate,Moderate
tt3606756,Incredibles 2,None,Mild,Mild,Mild,Mild
tt1182345,Moon,Mild,Moderate,Moderate,None,Mild
tt0488120,Fracture,Mild,Moderate,Moderate,Mild,Mild
tt0361862,The Machinist,Moderate,Moderate,Moderate,Mild,Severe
tt1934231,Delhi Belly,Moderate,Moderate,Severe,Mild,Mild
tt0796302,The Babysitters,Moderate,Mild,Mild,Moderate,Mild
tt4154756,Avengers: Infinity War,None,Moderate,Mild,None,Moderate
tt3322420,Queen,Mild,None,Mild,Mild,None
tt0322330,Freaky Friday,Mild,None,Mild,None,None
tt0118689,Bean,Mild,Mild,Mild,Mild,None
tt0452694,The Time Traveler's Wife,Mild,Mild,Mild,Mild,Mild
tt1041829,The Proposal,Moderate,Mild,Mild,Mild,None
tt0251127,How to Lose a Guy in 10 Days,Mild,None,Mild,Mild,None
tt1365519,Tomb Raider,None,Moderate,Mild,Mild,Moderate
tt1843866,Captain America: The Winter Soldier,None,Moderate,Mild,Mild,Moderate
tt5580390,The Shape of Water,Moderate,Severe,Moderate,Mild,Moderate
tt2704998,Game Night,Mild,Moderate,Severe,Mild,Mild
tt0473367,Jaane Tu... Ya Jaane Na,None,Mild,Moderate,Mild,Mild
tt0117381,Primal Fear,Moderate,Moderate,Severe,Mild,Moderate
tt2675978,Dedh Ishqiya,Moderate,Mild,Moderate,Mild,Mild
tt0315642,Wazir,None,Moderate,Mild,Mild,Moderate
tt4786824,The Crown,Moderate,Mild,Mild,Mild,Mild
tt1954470,Gangs of Wasseypur,Mild,Severe,Severe,Severe,Severe
tt1340800,Tinker Tailor Soldier Spy,Moderate,Moderate,Moderate,Mild,Mild
tt3040964,The Jungle Book,None,Mild,None,None,Moderate
tt1840417,The Words,Mild,Mild,Mild,Mild,None
tt1825683,Black Panther,None,Moderate,Mild,None,Moderate
tt1931533,Seven Psychopaths,Moderate,Severe,Severe,Moderate,Moderate
tt2015381,Guardians of the Galaxy,Mild,Moderate,Moderate,Mild,Mild
tt0478970,Ant-Man,None,Mild,Mild,Mild,Mild
tt0317919,Mission: Impossible III,Mild,Moderate,Mild,Mild,Moderate
tt0450259,Blood Diamond,Mild,Severe,Moderate,Moderate,Severe
tt0121766,Star Wars: Episode III - Revenge of the Sith,None,Moderate,None,None,Moderate
tt3890160,Baby Driver,None,Moderate,Severe,Mild,Moderate
tt1959563,The Hitman's Bodyguard,Mild,Severe,Severe,Mild,Mild
tt0071562,The Godfather Part II,Mild,Severe,Moderate,Mild,Moderate
tt0378194,Kill Bill: Vol. 2,Mild,Severe,Severe,Moderate,Moderate
tt0266697,Kill Bill: Vol. 1,Mild,Severe,Severe,Mild,Moderate
tt0317740,The Italian Job,Mild,Mild,Moderate,Mild,Mild
tt1772288,Danny Collins,Mild,None,Severe,Moderate,None
tt0496806,Ocean's Thirteen,Mild,None,Mild,Mild,None
tt0434409,V for Vendetta,Mild,Severe,Moderate,Mild,Moderate
tt1485796,The Greatest Showman,None,None,None,Mild,Mild
tt5294550,All the Money in the World,Mild,Moderate,Moderate,Moderate,Moderate
tt6272828,Mubarakan,Mild,None,Mild,Mild,None
tt0259446,My Big Fat Greek Wedding,Mild,None,Mild,Mild,None
tt2283362,Jumanji: Welcome to the Jungle,Mild,Mild,Mild,Mild,Mild
tt2527336,Star Wars: Episode VIII - The Last Jedi,None,Moderate,Mild,Mild,Moderate
tt2488496,Star Wars: Episode VII - The Force Awakens,None,Moderate,Mild,None,Moderate
tt4574334,Stranger Things,Mild,Severe,Moderate,Mild,Severe
tt5462602,The Big Sick,Mild,None,Moderate,Mild,Mild
tt2380307,Coco,None,Mild,None,Mild,Mild
tt3682448,Bridge of Spies,None,Mild,Mild,Mild,Mild
tt1386697,Suicide Squad,Mild,Moderate,Moderate,Mild,Moderate
tt3531824,Nerve,Mild,Mild,Mild,Mild,Moderate
tt1954598,Ladies vs. Ricky Bahl,Moderate,Mild,Mild,Mild,None
tt3402236,Murder on the Orient Express,None,Moderate,Mild,Mild,Moderate
tt3501632,Thor: Ragnarok,Mild,Moderate,Mild,Mild,Mild
tt0064757,On Her Majesty's Secret Service,Mild,Moderate,Mild,Mild,Mild
tt4276820,The Founder,None,None,Mild,Mild,None
tt1442550,Shark Tank,None,None,Mild,None,None
tt0287717,Spy Kids 2: Island of Lost Dreams,None,Mild,Mild,Mild,Mild
tt3532216,American Made,Moderate,Mild,Severe,Moderate,Mild
tt0243155,Bridget Jones's Diary,Moderate,Mild,Moderate,Moderate,None
tt5816682,Victoria & Abdul,None,None,Mild,None,Mild
tt4649466,Kingsman: The Golden Circle,Moderate,Severe,Severe,Moderate,Moderate
tt1937269,One Small Hitch,Mild,None,Mild,Mild,Mild
tt6110504,Becoming Bond,Moderate,None,Severe,Moderate,None
tt0377092,Mean Girls,Mild,Mild,Moderate,Mild,Mild
tt2568862,Going in Style,Mild,Mild,Mild,Mild,Mild
tt5439796,Logan Lucky,None,Mild,Mild,Mild,Mild
tt2406566,Atomic Blonde,Moderate,Severe,Moderate,Moderate,Moderate
tt2879552,11.22.63,Mild,Moderate,Moderate,Mild,Moderate
tt4116284,The Lego Batman Movie,None,Mild,Mild,None,Mild
tt2250912,Spider-Man: Homecoming,Mild,Mild,Mild,None,Mild
tt5420376,Riverdale,Moderate,Moderate,Mild,Moderate,Moderate
tt0920464,Manorama: Six Feet Under,Mild,Mild,Mild,Moderate,Moderate
tt5442430,Life,None,Severe,Moderate,None,Severe
tt0451279,Wonder Woman,Mild,Moderate,Mild,Mild,Mild
tt5982852,Jolly LLB 2,Mild,Mild,Mild,None,Moderate
tt2369135,Need for Speed,Mild,Moderate,Moderate,Mild,Mild
tt0209163,The Mummy Returns,Mild,Moderate,Mild,None,Moderate
tt0076759,Star Wars: Episode IV - A New Hope,None,Mild,None,Mild,Mild
tt0120915,Star Wars: Episode I - The Phantom Menace,None,Mild,None,None,Mild
tt0121765,Star Wars: Episode II - Attack of the Clones,Mild,Moderate,None,Mild,Moderate
tt1663202,The Revenant,Mild,Severe,Moderate,Mild,Severe
tt3263904,Sully,None,Mild,Mild,Mild,Moderate
tt4387040,Airlift,None,Moderate,Mild,Mild,Severe
tt2621000,Jolly LLB,None,Mild,Moderate,Mild,Mild
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Mild,Moderate,Mild,Mild,Moderate
tt0072783,Chupke Chupke,Mild,Mild,None,Mild,None
tt0244590,Kissise Na Kehna,Mild,None,Mild,Mild,None
tt0244585,Khubsoorat,None,None,None,Mild,Mild
tt5764096,Hindi Medium,None,None,None,None,None
tt0918940,The Legend of Tarzan,Mild,Moderate,Mild,None,Mild
tt2582782,Hell or High Water,Mild,Moderate,Moderate,Mild,Moderate
tt2241351,Money Monster,Mild,Moderate,Severe,None,Moderate
tt1447508,Peepli [Live],None,Mild,Severe,Moderate,None
tt4630562,The Fate of the Furious,Mild,Moderate,Moderate,Mild,Moderate
tt0398165,The Longest Yard,Moderate,Moderate,Moderate,Mild,Mild
tt0829150,Dracula Untold,Mild,Moderate,None,None,Moderate
tt3393786,Jack Reacher: Never Go Back,None,Moderate,Mild,Mild,Mild
tt1504320,The King's Speech,None,None,Moderate,Mild,None
tt0116151,Dunston Checks In,Mild,Mild,Mild,Mild,None
tt0100405,Pretty Woman,Moderate,Mild,Moderate,Mild,Mild
tt1980929,Begin Again,Mild,None,Moderate,Mild,None
tt2404435,The Magnificent Seven,Mild,Moderate,Mild,Mild,Moderate
tt0101414,Beauty and the Beast,None,Mild,None,Mild,Mild
tt2771200,Beauty and the Beast,None,Mild,None,Mild,Mild
tt0119567,The Lost World: Jurassic Park,None,Moderate,Mild,Mild,Severe
tt0163025,Jurassic Park III,None,Moderate,Mild,Mild,Moderate
tt6277440,The Bride of Badrinath,None,Mild,Mild,Mild,Moderate
tt0068646,The Godfather,Moderate,Severe,Moderate,Mild,Moderate
tt1430132,The Wolverine,Mild,Moderate,Moderate,Mild,Moderate
tt4425200,John Wick: Chapter 2,Mild,Severe,Moderate,Mild,Severe
tt1034303,Defiance,Mild,Moderate,Moderate,Mild,Severe
tt4846340,Hidden Figures,None,None,Mild,Mild,Mild
tt3741834,Lion,Mild,Mild,None,Mild,Moderate
tt0382383,Yuva,Mild,Moderate,Moderate,Mild,Moderate
tt5310090,Irudhi Suttru,None,Mild,Moderate,None,Moderate
tt0083658,Blade Runner,Moderate,Moderate,Mild,Mild,Moderate
tt4136084,Florence Foster Jenkins,Mild,None,Mild,Mild,None
tt5165344,Rustom,Mild,Mild,Mild,Mild,Mild
tt0349205,Cheaper by the Dozen,None,Mild,None,Mild,None
tt4434004,Udta Punjab,Moderate,Moderate,Severe,Severe,Moderate
tt0095953,Rain Man,Mild,Mild,Moderate,Mild,Mild
tt3495026,Fan,None,Mild,Mild,None,Moderate
tt1475582,Sherlock,Mild,Moderate,Mild,Moderate,Moderate
tt0449088,Pirates of the Caribbean: At World's End,Mild,Moderate,Mild,Mild,Moderate
tt0079700,The Passage,Moderate,Moderate,None,Mild,Moderate
tt3631112,The Girl on the Train,Moderate,Moderate,Severe,Moderate,Moderate
tt0208092,Snatch,Mild,Moderate,Severe,Mild,Mild
tt0099685,GoodFellas,Mild,Severe,Severe,Severe,Severe
tt0166924,Mulholland Drive,Severe,Moderate,Mild,Mild,Severe
tt3521164,Moana,None,Mild,None,None,Mild
tt0167404,The Sixth Sense,Mild,Moderate,Mild,Mild,Moderate
tt0217869,Unbreakable,Mild,Moderate,Mild,Mild,Moderate
tt1355644,Passengers,Mild,Mild,Mild,Mild,Mild
tt2556308,Holiday,None,Moderate,Mild,Mild,Severe
tt3748528,Rogue One: A Star Wars Story,None,Moderate,None,None,Moderate
tt1690953,Despicable Me 2,Mild,Mild,None,Mild,Mild
tt3110958,Now You See Me 2,None,Mild,Mild,Mild,Mild
tt2510894,Hotel Transylvania 2,None,Mild,None,None,Mild
tt0837562,Hotel Transylvania,None,Mild,None,None,Mild
tt0838221,The Darjeeling Limited,Mild,Mild,Moderate,Moderate,Mild
tt0378072,Hum Tum,None,None,Mild,Mild,None
tt1628033,Top Gear,None,Mild,Mild,Mild,None
tt3183660,Fantastic Beasts and Where to Find Them,None,Moderate,None,Mild,Moderate
tt0887883,Burn After Reading,Moderate,Moderate,Severe,Mild,Moderate
tt2660888,Star Trek Beyond,None,Moderate,Mild,Mild,Moderate
tt2543164,Arrival,None,Mild,Mild,None,Mild
tt1408101,Star Trek Into Darkness,Mild,Moderate,Mild,Mild,Moderate
tt0094525,Poirot,Mild,Moderate,Mild,Mild,Moderate
tt0796366,Star Trek,Mild,Moderate,Mild,Mild,Moderate
tt0488414,Omkara,Mild,Moderate,Severe,Mild,Severe
tt0408839,The Heartbreak Kid,Severe,None,Severe,Moderate,None
tt2905838,Bang Bang,Mild,Moderate,Mild,Mild,Moderate
tt1211837,Doctor Strange,None,Moderate,Mild,None,Moderate
tt3062096,Inferno,None,Moderate,Mild,None,Moderate
tt2707408,Narcos,Severe,Severe,Severe,Severe,Severe
tt2140479,The Accountant,None,Severe,Moderate,Mild,Moderate
tt0292490,Dil Chahta Hai,None,None,None,Mild,None
tt0092099,Top Gun,Mild,Mild,Moderate,Mild,Mild
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Mild,Moderate,Mild,Moderate,Moderate
tt0250494,Legally Blonde,Mild,Mild,Mild,None,None
tt2005151,War Dogs,Mild,Moderate,Severe,Severe,Mild
tt0320691,Underworld,Mild,Severe,Mild,Mild,Severe
tt0337563,13 Going on 30,Mild,None,Mild,Mild,None
tt4651520,Bad Moms,Moderate,None,Severe,Severe,None
tt1323594,Despicable Me,None,Mild,None,None,Mild
tt0808146,American Pie Presents: The Naked Mile,Severe,None,Severe,Moderate,None
tt0903747,Breaking Bad,Moderate,Severe,Moderate,Severe,Severe
tt1489889,Central Intelligence,Moderate,Moderate,Moderate,Mild,Mild
tt2277860,Finding Dory,None,None,None,None,Mild
tt0472399,The Mechanic,Moderate,Severe,Moderate,Moderate,Moderate
tt2170439,Horrible Bosses 2,Moderate,Moderate,Severe,Mild,None
tt1499658,Horrible Bosses,Moderate,Mild,Severe,Mild,None
tt0109831,Four Weddings and a Funeral,Mild,None,Moderate,Mild,None
tt2911666,John Wick,None,Severe,Severe,Mild,Moderate
tt0081163,The Mirror Crack'd,Mild,Mild,Mild,Mild,None
tt2381111,Brooklyn,Mild,None,Mild,Mild,Mild
tt0097165,Dead Poets Society,Mild,Mild,Mild,Mild,Moderate
tt0119488,L.A. Confidential,Moderate,Severe,Severe,Moderate,Moderate
tt0108160,Sleepless in Seattle,Mild,None,Mild,Mild,None
tt0086250,Scarface,Moderate,Severe,Severe,Severe,Severe
tt0758774,Body of Lies,None,Severe,Moderate,Mild,Severe
tt1860213,Dirty Grandpa,Severe,Mild,Severe,Severe,None
tt2719848,Everest,None,Mild,None,Mild,Moderate
tt1355683,Black Mass,Mild,Severe,Severe,Moderate,Severe
tt0119174,The Game,Mild,Mild,Moderate,Mild,Moderate
tt3203606,Trumbo,Mild,None,Moderate,Moderate,None
tt0110357,The Lion King,None,Mild,None,None,Moderate
tt0107048,Groundhog Day,Mild,Mild,Mild,Mild,Mild
tt0104952,My Cousin Vinny,Mild,Mild,Moderate,Mild,None
tt0840361,The Town,Moderate,Severe,Severe,Moderate,Moderate
tt0118715,The Big Lebowski,Moderate,Mild,Severe,Moderate,Mild
tt4934950,Guilty,Mild,Moderate,Mild,Mild,Moderate
tt4900716,Kapoor & Sons,Mild,Mild,Mild,Mild,Moderate
tt2884018,Macbeth,Mild,Severe,None,Mild,Moderate
tt3447364,Detective Byomkesh Bakshy!,Mild,Severe,Mild,Mild,Moderate
tt1431045,Deadpool,Severe,Severe,Severe,Mild,Moderate
tt0120815,Saving Private Ryan,None,Severe,Moderate,Mild,Severe
tt0367110,Swades,None,None,None,Mild,None
tt0169547,American Beauty,Severe,Moderate,Severe,Moderate,Moderate
tt2361509,The Intern,Mild,None,Mild,Mild,None
tt3076658,Creed,Mild,Moderate,Moderate,None,Moderate
tt4110568,Dil Dhadakne Do,Mild,None,Mild,Mild,Mild
tt3173910,Hasee Toh Phasee,None,None,Mild,Mild,None
tt1185420,Dostana,Mild,None,Mild,Mild,None
tt1231583,Due Date,Mild,Mild,Severe,Moderate,Mild
tt0105323,Scent of a Woman,None,Mild,Moderate,Moderate,Mild
tt2379713,Spectre,Mild,Moderate,Mild,Mild,Moderate
tt0993846,The Wolf of Wall Street,Severe,Moderate,Severe,Severe,Moderate
tt2820852,Furious 7,Mild,Moderate,Moderate,Mild,Moderate
tt0061722,The Graduate,Moderate,Mild,Mild,Mild,Mild
tt0099423,Die Hard 2,Mild,Severe,Severe,Mild,Moderate
tt0362227,The Terminal,Mild,None,Mild,Mild,None
tt0087469,Indiana Jones and the Temple of Doom,Mild,Severe,Mild,Mild,Severe
tt0122690,Ronin,None,Moderate,Moderate,Mild,Mild
tt1325004,The Twilight Saga: Eclipse,Mild,Moderate,Mild,Mild,Moderate
tt0316654,Spider-Man 2,Mild,Moderate,Mild,Mild,Moderate
tt0295297,Harry Potter and the Chamber of Secrets,None,Mild,Mild,None,Moderate
tt1790885,Zero Dark Thirty,Mild,Severe,Severe,Mild,Severe
tt1980986,Housefull 2,Mild,Mild,Moderate,None,Mild
tt0116367,From Dusk Till Dawn,Moderate,Severe,Severe,Moderate,Severe
tt3659388,The Martian,Mild,Mild,Moderate,Mild,Mild
tt3895884,7 Days in Hell,Severe,Mild,Severe,Moderate,Mild
tt0425112,Hot Fuzz,Mild,Severe,Severe,Mild,Moderate
tt3713166,Unfriended,Moderate,Severe,Severe,Moderate,Severe
tt2967224,Hot Pursuit,Mild,Mild,Mild,Mild,Mild
tt2381941,Focus,Moderate,Moderate,Severe,Mild,Mild
tt0369610,Jurassic World,None,Moderate,Mild,Mild,Moderate
tt0054698,Breakfast at Tiffany's,Mild,None,None,Moderate,None
tt0117571,Scream,Mild,Severe,Moderate,Mild,Severe
tt1655441,The Age of Adaline,Mild,Mild,Mild,Mild,Mild
tt0278504,Insomnia,Mild,Moderate,Moderate,Mild,Moderate
tt1723121,We're the Millers,Moderate,Mild,Severe,Severe,None
tt1568346,The Girl with the Dragon Tattoo,Severe,Severe,Moderate,Mild,Severe
tt0405422,The 40-Year-Old Virgin,Severe,Mild,Severe,Moderate,None
tt0356910,Mr. & Mrs. Smith,Mild,Moderate,Moderate,Mild,Mild
tt1412386,The Best Exotic Marigold Hotel,Mild,None,Mild,Mild,None
tt2555736,The Second Best Exotic Marigold Hotel,Mild,None,Mild,Mild,Mild
tt1872194,The Judge,Mild,None,Moderate,Mild,None
tt0080684,Star Wars: Episode V - The Empire Strikes Back,None,Mild,None,None,Moderate
tt0053125,North by Northwest,Mild,Mild,None,Mild,Mild
tt3079380,Spy,Moderate,Severe,Severe,Mild,Mild
tt0113277,Heat,Mild,Severe,Severe,Mild,Moderate
tt0425061,Get Smart,Mild,Mild,Mild,None,Mild
tt1343092,The Great Gatsby,Mild,Mild,Mild,Moderate,Mild
tt0974661,17 Again,Mild,Mild,Mild,Mild,None
tt1340138,Terminator Genisys,Mild,Moderate,Moderate,Mild,Mild
tt0110912,Pulp Fiction,Moderate,Severe,Severe,Severe,Moderate
tt0429493,The A-Team,None,Moderate,Moderate,Mild,Mild
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),Moderate,Mild,Severe,Moderate,Mild
tt0825232,The Bucket List,Mild,None,Moderate,Mild,Mild
tt1216492,Leap Year,Mild,Mild,Mild,Mild,None
tt2140465,Tanu Weds Manu Returns,None,Mild,Mild,Mild,None
tt1119646,The Hangover,Severe,Mild,Severe,Moderate,Mild
tt2294449,22 Jump Street,Mild,Moderate,Severe,Moderate,Mild
tt2727028,Total Chaos,Mild,Mild,Mild,Mild,Mild
tt2372678,2 States,Moderate,None,Mild,Mild,None
tt0114746,12 Monkeys,Mild,Moderate,Moderate,None,Moderate
tt2872718,Nightcrawler,None,Moderate,Severe,Mild,Moderate
tt0052357,Vertigo,Mild,Mild,None,Mild,Moderate
tt0102926,The Silence of the Lambs,Moderate,Severe,Moderate,None,Severe
tt1193138,Up in the Air,Mild,None,Moderate,Mild,None
tt1074638,Skyfall,Mild,Moderate,Mild,Mild,Moderate
tt0120338,Titanic,Moderate,Moderate,Moderate,Mild,Severe
tt1024648,Argo,Mild,Moderate,Severe,Mild,Moderate
tt0369179,Two and a Half Men,Moderate,Mild,Moderate,Severe,None
tt0190138,The Whole Nine Yards,Moderate,Moderate,Mild,Mild,Mild
tt1306980,50/50,Moderate,None,Severe,Moderate,Moderate
tt0460649,How I Met Your Mother,Moderate,None,Mild,Moderate,None
